Origin Time:2018/02/04 21:56:40
Lon:121.74°E
Lat:24.15°N
Depth:10.6km
Mag:5.8
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  12.29,AZ= 93.89,PGA(V)=  43.19,PGA(NS)= 170.12,PGA(EW)= 112.99
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  16.09,AZ= 61.34,PGA(V)=  11.96,PGA(NS)=   9.87,PGA(EW)=  12.56
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  17.38,AZ=181.79,PGA(V)= 167.73,PGA(NS)= 157.74,PGA(EW)= 144.64
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  23.51,AZ= 34.26,PGA(V)=  12.62,PGA(NS)=  30.99,PGA(EW)=  32.36
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  26.94,AZ= 43.08,PGA(V)=  12.56,PGA(NS)=  14.89,PGA(EW)=  19.38
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  30.48,AZ=181.02,PGA(V)=  55.51,PGA(NS)= 189.80,PGA(EW)= 215.52
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  30.92,AZ= 27.78,PGA(V)=  15.07,PGA(NS)=  39.06,PGA(EW)=  37.57
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  32.73,AZ= 51.21,PGA(V)=  12.92,PGA(NS)=  20.04,PGA(EW)=  22.67
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  47.89,AZ= 89.05,PGA(V)=  13.40,PGA(NS)=  25.24,PGA(EW)=  38.16
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  48.52,AZ= 39.33,PGA(V)=   4.91,PGA(NS)=   9.39,PGA(EW)=  11.90
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  48.60,AZ=130.82,PGA(V)=   9.99,PGA(NS)=  30.39,PGA(EW)=  23.57
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  52.02,AZ=193.05,PGA(V)=   8.14,PGA(NS)=  18.84,PGA(EW)=  19.50
